Rank,Title,Author,Rating,Reviews,Price,URL,Description,Publisher,Publication_Date
1,,Freida McFadden,4.2,Freida McFadden,,https://www.amazon.com/Dear-Debbie-Freida-McFadden-ebook/dp/B0FJTF5MJB/ref=zg_bs_g_6190491011_d_sccl_1/136-2795110-8795320?psc=1,,,
2,,Liane Moriarty,3.7,Liane Moriarty,,https://www.amazon.com/Price-Honey-Deadly-Ambition-collection-ebook/dp/B0FXBCK15V/ref=zg_bs_g_6190491011_d_sccl_2/136-2795110-8795320?psc=1,,,
3,,Freida McFadden,4.5,Freida McFadden,,https://www.amazon.com/Housemaid-absolutely-addictive-psychological-jaw-dropping-ebook/dp/B09TWSRMCB/ref=zg_bs_g_6190491011_d_sccl_3/136-2795110-8795320?psc=1,,,
4,,Colleen Hoover,3.9,Colleen Hoover,,https://www.amazon.com/Woman-Down-Novel-Colleen-Hoover-ebook/dp/B0FPRNRKR3/ref=zg_bs_g_6190491011_d_sccl_4/136-2795110-8795320?psc=1,,,
5,,Freida McFadden,4.2,Freida McFadden,,https://www.amazon.com/Tenant-Freida-McFadden-ebook/dp/B0DQFK5WVD/ref=zg_bs_g_6190491011_d_sccl_5/136-2795110-8795320?psc=1,,,
6,,Alice Feeney,4.3,Alice Feeney,,https://www.amazon.com/My-Husbands-Wife-Alice-Feeney-ebook/dp/B0F3WKFBFF/ref=zg_bs_g_6190491011_d_sccl_6/136-2795110-8795320?psc=1,,,
7,,Kate White,4.2,Kate White,,https://www.amazon.com/I-Came-Back-You-Novel-ebook/dp/B0F7HVPL8J/ref=zg_bs_g_6190491011_d_sccl_7/136-2795110-8795320?psc=1,,,
8,,Edwin Hill,4.3,Edwin Hill,,https://www.amazon.com/What-Happened-Next-Edwin-Hill-ebook/dp/B0FCSPP3J8/ref=zg_bs_g_6190491011_d_sccl_8/136-2795110-8795320?psc=1,,,
9,,Freida McFadden,4.4,Freida McFadden,,https://www.amazon.com/Housemaids-Secret-gripping-psychological-thriller-ebook/dp/B0BGXYL3BZ/ref=zg_bs_g_6190491011_d_sccl_9/136-2795110-8795320?psc=1,,,
10,,Karin Slaughter,4.5,Karin Slaughter,,https://www.amazon.com/Are-All-Guilty-Here-Psychological-ebook/dp/B0DN6K594T/ref=zg_bs_g_6190491011_d_sccl_10/136-2795110-8795320?psc=1,,,
11,,Kendra Elliot,4.4,Kendra Elliot,,https://www.amazon.com/First-Mistake-Noelle-Marshall-Book-ebook/dp/B0D31ZRV7X/ref=zg_bs_g_6190491011_d_sccl_11/136-2795110-8795320?psc=1,,,
12,,Alice Feeney,4.3,Alice Feeney,,https://www.amazon.com/His-Hers-Novel-Alice-Feeney-ebook/dp/B07RYGHRTS/ref=zg_bs_g_6190491011_d_sccl_12/136-2795110-8795320?psc=1,,,
13,,Freida McFadden,4.2,Freida McFadden,,https://www.amazon.com/Housemaid-Watching-absolutely-gripping-psychological-ebook/dp/B0CK4YL5FM/ref=zg_bs_g_6190491011_d_sccl_13/136-2795110-8795320?psc=1,,,
14,,Alice Feeney,3.9,Alice Feeney,,https://www.amazon.com/Beautiful-Ugly-Novel-Alice-Feeney-ebook/dp/B0D12ST77F/ref=zg_bs_g_6190491011_d_sccl_14/136-2795110-8795320?psc=1,,,
15,,Colleen Hoover,4.6,Colleen Hoover,,https://www.amazon.com/Verity-Colleen-Hoover-ebook/dp/B09H6T8LTR/ref=zg_bs_g_6190491011_d_sccl_15/136-2795110-8795320?psc=1,,,
16,,Freida McFadden,4.2,Freida McFadden,,https://www.amazon.com/Intruder-Freida-McFadden-ebook/dp/B0F77XYNSQ/ref=zg_bs_g_6190491011_d_sccl_16/136-2795110-8795320?psc=1,,,
17,,Freida McFadden,4.4,Freida McFadden,,https://www.amazon.com/Never-Lie-addictive-psychological-thriller-ebook/dp/B0BBL2ZW73/ref=zg_bs_g_6190491011_d_sccl_17/136-2795110-8795320?psc=1,,,
18,,Corinne Sullivan,4.0,Corinne Sullivan,,https://www.amazon.com/Yours-Always-Corinne-Sullivan-ebook/dp/B0FL3MV5FH/ref=zg_bs_g_6190491011_d_sccl_18/136-2795110-8795320?psc=1,,,
19,,E.L.  Westbury,4.3,E.L.  Westbury,,https://www.amazon.com/Drowning-Paper-Flowers-L-Westbury-ebook/dp/B0DQHKHT45/ref=zg_bs_g_6190491011_d_sccl_19/136-2795110-8795320?psc=1,,,
20,,Freida McFadden,3.8,Freida McFadden,,https://www.amazon.com/Death-Alibis-collection-Freida-McFadden-ebook/dp/B0DRLJNHZJ/ref=zg_bs_g_6190491011_d_sccl_20/136-2795110-8795320?psc=1,,,
21,,Freida McFadden,4.3,Freida McFadden,,https://www.amazon.com/Boyfriend-Psychological-Thriller-Freida-McFadden-ebook/dp/B0CY337Q77/ref=zg_bs_g_6190491011_d_sccl_21/136-2795110-8795320?psc=1,,,
